Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,C,5.6,P
8-Apr,FOUNDATION COURSE-VIII,2,B,7,P
9-Apr,FOUNDATION COURSE-IX,2,C,5,P
10-Apr,FOUNDATION COURSE-X,2,B,6.2,P
3-4-115,MICROBIOLOGY,3,C,5.4,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,10,P
3-4-109,DAIRY SCIENCE,3,C,5.5,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,B,6,P
3-4-106,CHEMISTRY,3,C,5.4,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,C,5.4,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.6,P
9-Apr,FOUNDATION COURSE-IX,2,D,4.6,P
10-Apr,FOUNDATION COURSE-X,2,B,7.2,P
3-4-115,MICROBIOLOGY,3,B,6.1,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,10,P
3-4-109,DAIRY SCIENCE,3,D,4.5,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,B,6,P
3-4-106,CHEMISTRY,3,B,6.1,P
3-4-106P,CHEMISTRY PRACTICAL,2,O,9.8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6.8,P
8-Apr,FOUNDATION COURSE-VIII,2,B,7.4,P
9-Apr,FOUNDATION COURSE-IX,2,D,4.8,P
10-Apr,FOUNDATION COURSE-X,2,E,9,P
3-4-115,MICROBIOLOGY,3,B,6.5,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,7.4,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5.4,P
3-4-106,CHEMISTRY,3,C,5.4,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.4,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6.8,P
8-Apr,FOUNDATION COURSE-VIII,2,B,7.4,P
9-Apr,FOUNDATION COURSE-IX,2,D,4.8,P
10-Apr,FOUNDATION COURSE-X,2,E,9,P
3-4-115,MICROBIOLOGY,3,B,6.5,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,7.4,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5.4,P
3-4-106,CHEMISTRY,3,C,5.4,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.4,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6.8,P
8-Apr,FOUNDATION COURSE-VIII,2,B,7.4,P
9-Apr,FOUNDATION COURSE-IX,2,D,4.8,P
10-Apr,FOUNDATION COURSE-X,2,E,9,P
3-4-115,MICROBIOLOGY,3,B,6.5,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,7.4,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5.4,P
3-4-106,CHEMISTRY,3,C,5.4,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.4,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,C,5.4,P
8-Apr,FOUNDATION COURSE-VIII,2,B,6.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,6.2,P
10-Apr,FOUNDATION COURSE-X,2,A,8,P
3-4-115,MICROBIOLOGY,3,C,5.6,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,E,8.5,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4,P
3-4-106,CHEMISTRY,,F,3.3,F
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.2,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6.4,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,6.4,P
10-Apr,FOUNDATION COURSE-X,2,B,6.2,P
3-4-115,MICROBIOLOGY,3,C,5.6,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,9.6,P
3-4-109,DAIRY SCIENCE,3,B,6.5,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4.4,P
3-4-106,CHEMISTRY,3,D,4.8,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6.4,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,6.4,P
10-Apr,FOUNDATION COURSE-X,2,B,6.2,P
3-4-115,MICROBIOLOGY,3,C,5.6,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,9.6,P
3-4-109,DAIRY SCIENCE,3,B,6.5,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4.4,P
3-4-106,CHEMISTRY,3,D,4.8,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,,F,2.6,F
8-Apr,FOUNDATION COURSE-VIII,2,B,7.2,P
9-Apr,FOUNDATION COURSE-IX,,F,1.4,F
10-Apr,FOUNDATION COURSE-X,2,D,4,P
3-4-115,MICROBIOLOGY,,,,A
3-4-115P,MICROBIOLOGY PRACTICAL,2,A,8,P
3-4-109,DAIRY SCIENCE,,,,A
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4.8,P
3-4-106,CHEMISTRY,,,,A
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.2,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,,F,2.8,F
8-Apr,FOUNDATION COURSE-VIII,2,A,8,P
9-Apr,FOUNDATION COURSE-IX,2,D,4,P
10-Apr,FOUNDATION COURSE-X,2,B,6,P
3-4-115,MICROBIOLOGY,3,C,5.1,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,D,4.9,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5,P
3-4-106,CHEMISTRY,3,D,4.8,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.4,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,C,5,P
8-Apr,FOUNDATION COURSE-VIII,2,B,6.8,P
9-Apr,FOUNDATION COURSE-IX,2,D,4.2,P
10-Apr,FOUNDATION COURSE-X,2,B,6,P
3-4-115,MICROBIOLOGY,3,D,4.8,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,6.7,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4,P
3-4-106,CHEMISTRY,,F,3.4,F
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,7,P
8-Apr,FOUNDATION COURSE-VIII,2,B,7.4,P
9-Apr,FOUNDATION COURSE-IX,2,B,6,P
10-Apr,FOUNDATION COURSE-X,2,A,8.2,P
3-4-115,MICROBIOLOGY,3,B,6.4,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,10,P
3-4-109,DAIRY SCIENCE,3,B,6.6,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5,P
3-4-106,CHEMISTRY,3,B,6.4,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,8.8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,7,P
8-Apr,FOUNDATION COURSE-VIII,2,B,7.4,P
9-Apr,FOUNDATION COURSE-IX,2,B,6,P
10-Apr,FOUNDATION COURSE-X,2,A,8.2,P
3-4-115,MICROBIOLOGY,3,B,6.4,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,10,P
3-4-109,DAIRY SCIENCE,3,B,6.6,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5,P
3-4-106,CHEMISTRY,3,B,6.4,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,8.8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6,P
8-Apr,FOUNDATION COURSE-VIII,2,B,6.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,6.8,P
10-Apr,FOUNDATION COURSE-X,2,E,8.6,P
3-4-115,MICROBIOLOGY,3,B,6.9,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,9.6,P
3-4-109,DAIRY SCIENCE,3,A,7.8,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4,P
3-4-106,CHEMISTRY,3,B,6.9,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,7.2,P
10-Apr,FOUNDATION COURSE-X,2,E,9.4,P
3-4-115,MICROBIOLOGY,3,B,6.6,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,7.1,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5,P
3-4-106,CHEMISTRY,3,B,6,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,8.8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,7.2,P
10-Apr,FOUNDATION COURSE-X,2,E,9.4,P
3-4-115,MICROBIOLOGY,3,B,6.6,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,7.1,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5,P
3-4-106,CHEMISTRY,3,B,6,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,8.8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,7,P
8-Apr,FOUNDATION COURSE-VIII,2,A,8,P
9-Apr,FOUNDATION COURSE-IX,2,B,6.8,P
10-Apr,FOUNDATION COURSE-X,2,A,8.2,P
3-4-115,MICROBIOLOGY,3,B,6.1,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,B,6.7,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4.4,P
3-4-106,CHEMISTRY,3,C,5.5,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,8.8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,7,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.8,P
9-Apr,FOUNDATION COURSE-IX,2,B,7.2,P
10-Apr,FOUNDATION COURSE-X,2,C,5.2,P
3-4-115,MICROBIOLOGY,3,C,5.8,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,C,5.3,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4.2,P
3-4-106,CHEMISTRY,3,C,5.3,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,9,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,,,,A
8-Apr,FOUNDATION COURSE-VIII,,,,A
9-Apr,FOUNDATION COURSE-IX,,,,A
10-Apr,FOUNDATION COURSE-X,,,,A
3-4-115,MICROBIOLOGY,3,C,5.8,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,C,5.3,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,D,4.2,P
3-4-106,CHEMISTRY,3,C,5.3,P
3-4-106P,CHEMISTRY PRACTICAL,2,E,9,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,6,P
8-Apr,FOUNDATION COURSE-VIII,2,A,8.2,P
9-Apr,FOUNDATION COURSE-IX,2,B,6.4,P
10-Apr,FOUNDATION COURSE-X,2,O,9.6,P
3-4-115,MICROBIOLOGY,3,C,5.8,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,A,8.1,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,B,6.4,P
3-4-106,CHEMISTRY,3,C,5,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,,,,A
8-Apr,FOUNDATION COURSE-VIII,,,,A
9-Apr,FOUNDATION COURSE-IX,,,,A
10-Apr,FOUNDATION COURSE-X,,,,A
3-4-115,MICROBIOLOGY,3,C,5.8,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,7,P
3-4-109,DAIRY SCIENCE,3,A,8.1,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,B,6.4,P
3-4-106,CHEMISTRY,3,C,5,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,,F,1.6,F
8-Apr,FOUNDATION COURSE-VIII,2,A,7.8,P
9-Apr,FOUNDATION COURSE-IX,2,C,5.4,P
10-Apr,FOUNDATION COURSE-X,2,C,5.4,P
3-4-115,MICROBIOLOGY,3,D,4.8,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,B,6,P
3-4-109,DAIRY SCIENCE,3,D,4.9,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5.4,P
3-4-106,CHEMISTRY,3,D,4.7,P
3-4-106P,CHEMISTRY PRACTICAL,2,B,7.2,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,B,7,P
8-Apr,FOUNDATION COURSE-VIII,2,A,8,P
9-Apr,FOUNDATION COURSE-IX,2,B,7,P
10-Apr,FOUNDATION COURSE-X,2,A,8,P
3-4-115,MICROBIOLOGY,3,B,7.3,P
3-4-115P,MICROBIOLOGY PRACTICAL,2,O,10,P
3-4-109,DAIRY SCIENCE,3,E,8.6,P
3-4-109P,DAIRY SCIENCE PRACTICAL,2,C,5,P
3-4-106,CHEMISTRY,3,B,6.5,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.4,P
Column-0,Column-1,Column-2,Column-3,Column-4,Column-5
PAPER CODE,PAPER NAME,CREDT,GRADE,GRADE POINT,FLAG
7-Apr,FOUNDATION COURSE-VII,2,C,5.6,P
8-Apr,FOUNDATION COURSE-VIII,2,A,7.6,P
9-Apr,FOUNDATION COURSE-IX,2,D,4,P
10-Apr,FOUNDATION COURSE-X,2,B,6.4,P
1-4-112,MATHEMATICS,5,B,6.1,P
1-4-122,STATISTICS(WM),3,A,7.6,P
1-4-122P,STATISTICS(WM) PRACTICAL,2,O,9.6,P
3-4-108,COMPUTER SCIENCE,3,C,5.8,P
3-4-108P,COMPUTER SCIENCE PRACTICAL,2,B,6,P
3-4-106P,CHEMISTRY PRACTICAL,2,A,8.4,P
